  2.756662611449E-06 -3.237151530159E-10  2.570159789137E-14 -5.839384149247E-19
  2.856644527347E-06 -3.364552783944E-10  2.486634307234E-14 -5.389416015139E-19
  2.910911401448E-06 -3.520849449849E-10  2.662266373727E-14 -5.908718026527E-19
  2.455882340983E-06 -2.689001168302E-10  2.000254648979E-14 -4.206785173051E-19
  3.017049284591E-06 -3.353255058162E-10  2.390370205248E-14 -5.035274828391E-19
  3.119842932748E-06 -3.462415848264E-10  2.452017344192E-14 -5.167485006598E-19
  3.117100635362E-06 -3.320451397563E-10  2.341467835205E-14 -4.916536648027E-19
  3.039497274247E-06 -3.235990346630E-10  2.342162950079E-14 -4.979192680320E-19
  3.480401946312E-06 -3.770136764383E-10  2.737176063813E-14 -5.979418336164E-19
  3.458963206407E-06 -3.538060659961E-10  2.358004458840E-14 -4.755148748483E-19
  3.404332110538E-06 -3.331301288264E-10  2.385722304905E-14 -5.155089481876E-19
  3.527102342886E-06 -3.697541453593E-10  2.650687419269E-14 -5.728138430683E-19
  3.517089219891E-06 -3.610306286553E-10  2.569343642011E-14 -5.541632759867E-19
  3.356975381811E-06 -3.465955483835E-10  2.405424544725E-14 -4.998296932971E-19
  3.173298194930E-06 -3.183446204107E-10  2.282942155278E-14 -4.855575914733E-19
  3.355578577101E-06 -3.509756601971E-10  2.467670526051E-14 -5.213785339289E-19
  2.757039524318E-06 -3.017940325944E-10  2.302406151953E-14 -5.060994843368E-19
  3.060997239395E-06 -3.476073512397E-10  2.469091837864E-14 -5.215458249393E-19
  2.721235131655E-06 -3.071647029438E-10  2.301018822230E-14 -4.988617323532E-19
  2.375535372610E-06 -2.524977138384E-10  1.894133977445E-14 -4.012242923584E-19
  2.476184890939E-06 -2.725614303295E-10  2.158128513095E-14 -4.810166632106E-19
  2.550410369890E-06 -2.823214200826E-10  2.177509175740E-14 -4.774773141286E-19
  2.403066107251E-06 -2.559708094182E-10  2.045274676927E-14 -4.572091092576E-19
  2.581783161656E-06 -2.775833553176E-10  2.149647866822E-14 -4.737585780678E-19
  2.340714951738E-06 -2.545297330610E-10  2.042321227598E-14 -4.554073370949E-19
  2.272011232244E-06 -2.453063224331E-10  1.836598288716E-14 -3.853171903976E-19
  2.514578544132E-06 -2.901920772124E-10  2.291654442975E-14 -5.131985157628E-19
  2.574210433291E-06 -2.979686514353E-10  2.184900305092E-14 -4.612195145852E-19
  2.970255517966E-06 -3.580186972512E-10  2.708866408816E-14 -6.006204845648E-19
  2.693419815369E-06 -3.084998299456E-10  2.289828241230E-14 -4.895283946606E-19
  2.532140435407E-06 -2.882779445078E-10  2.161816467278E-14 -4.641703870084E-19
  2.691057499589E-06 -2.972701903442E-10  2.113040383702E-14 -4.399531113854E-19
