#    gamma 1               gamma 2           pos
-0.008243482861256172 -0.01719607775665567 [0, 0]
-0.006023758439631021 -0.0019959373511206796 [1, 0]
0.0009620438047893521 -0.00033913832222174446 [2, 0]
0.0005880879730791489 0.0046189924332149255 [3, 0]
-0.0006314867293062885 -0.008693128490482534 [4, 0]
-0.006987580095835218 0.0005184733376980261 [5, 0]
0.001431821167596796 0.007439919049219434 [6, 0]
-0.002357763820169439 0.004789197520821471 [7, 0]
-0.002996452490378134 -0.0025937331338394503 [8, 0]
0.012088972173066903 0.008187552978880238 [9, 0]
0.0067404234167430565 -0.0006994757546776816 [10, 0]
-0.005581434476143077 0.02052848837302097 [11, 0]
0.0032701837812038376 0.011126804597400241 [12, 0]
-0.006020420433502566 -1.4894489929428082e-05 [13, 0]
0.0035566829221647814 -0.004964894706179139 [14, 0]
-0.011534937426134798 0.0009855104570196424 [15, 0]
-0.00305103222935502 -0.003984278459914611 [16, 0]
-0.005931724905059941 -0.00026314343098164585 [17, 0]
-0.0025756837285594164 -0.0036967838807005654 [18, 0]
0.0006907452732707287 0.005191755509850827 [19, 0]
-0.0053340022847759355 0.013108702108350618 [20, 0]
-0.004484245435549136 0.017094741742891526 [21, 0]
0.004930943884237455 -0.0052519708990294515 [22, 0]
-0.00613513414924922 -0.002679248877097622 [23, 0]
0.00671912529342795 0.00032421104727144314 [24, 0]
-0.008422927869312879 0.00565532303037252 [25, 0]
0.0001983852544093198 -0.00423022476331571 [26, 0]
0.007672987034585784 -0.0018327837216048292 [27, 0]
1.5112484538540791e-06 -0.0066347406151311015 [28, 0]
-0.0025523298022997187 -0.006840358508101124 [29, 0]
0.0 0.0 [30, 0]
0.0 0.0 [31, 0]
-0.012922138466401287 0.0017652495931870815 [0, 1]
-0.007925560213415707 -0.009078377737660546 [1, 1]
5.801586669717388e-05 0.0005987444775024623 [2, 1]
-0.006673881267407948 -0.0004229566792308455 [3, 1]
-0.01047401754541427 -0.003836040652158459 [4, 1]
0.001154368733584263 -0.004986611999196294 [5, 1]
-0.0018871553874899875 -0.013772790895903816 [6, 1]
0.004918480638629995 -0.004852508454986755 [7, 1]
0.004456349297112121 -0.003862325421237853 [8, 1]
0.007508852885862342 -0.013993221436170012 [9, 1]
-0.003126400952225532 -0.011909747632944567 [10, 1]
0.0013660609194844422 0.009239686166619309 [11, 1]
0.0012853339941512906 0.009750646413719692 [12, 1]
-0.004711991217223076 -0.01299868658230281 [13, 1]
-0.0001895657371140423 -0.013997625040119487 [14, 1]
0.009828329475841068 -0.006815650183901912 [15, 1]
-0.0050512882011804995 -0.01715523529126056 [16, 1]
-0.01266738840375272 -0.007135343684146005 [17, 1]
0.0050221915475773685 0.002009488731433587 [18, 1]
0.005615442461363498 0.018847662984383288 [19, 1]
0.020301108975035176 0.00810705690737007 [20, 1]
0.005763022415698389 -0.0025540044455165034 [21, 1]
0.008537359374909714 0.0012573012176809663 [22, 1]
-0.0039927836904170965 -0.0023545559513238044 [23, 1]
0.0021282323914748585 -2.0888915302394035e-05 [24, 1]
-0.008148446081994621 0.011106075274971209 [25, 1]
0.00102959675254911 0.012996795082902095 [26, 1]
-0.007549608525599605 0.00863783008969108 [27, 1]
0.004024958385799583 -0.01444281644180012 [28, 1]
-0.004192098228261826 -0.0035225699493491003 [29, 1]
-0.0006950875996223079 -0.011328808080321334 [30, 1]
0.0 0.0 [31, 1]
-0.025861887055194117 0.003507766874901123 [0, 2]
0.004043564947815989 0.015549511928907765 [1, 2]
-0.004368361299970417 0.0028443454406798254 [2, 2]
-0.0022292871143065177 0.0004110468236390122 [3, 2]
0.0029232192316457103 -0.0035956868390294014 [4, 2]
-0.003577435182217073 0.006779525795924141 [5, 2]
-0.006481005313306926 0.0068335244456665025 [6, 2]
0.01091629324567718 -0.005021643826610034 [7, 2]
0.0021349692166866253 0.0102651276269284 [8, 2]
0.0028819166222788877 0.011478833659242028 [9, 2]
0.0024572379784245347 -0.0033115786542498612 [10, 2]
-0.015322723053976386 -0.004649683819754577 [11, 2]
-0.008729755017156143 0.005978495512620491 [12, 2]
-0.005446473306160031 -0.00022272487429473778 [13, 2]
0.0023723612674941435 0.014237749335071229 [14, 2]
-0.02737057450435986 -0.0019352032365974878 [15, 2]
-0.007282982841658411 0.005435422108991369 [16, 2]
-0.009348344096944601 0.0009044483195060839 [17, 2]
-0.0033904381450109416 -0.0013195113327241646 [18, 2]
0.002951011148558797 0.012043465657202284 [19, 2]
0.005675071377780901 0.0036747469799979435 [20, 2]
-0.004217898981684106 -0.010729216134866779 [21, 2]
-0.008656745230565158 -0.0007320408174206144 [22, 2]
-0.005080959626952902 0.0026122957663727324 [23, 2]
-0.0007467359145896925 -0.007434705528345331 [24, 2]
-0.00021162634432371111 -0.0035531560680493114 [25, 2]
0.0012075784760703274 -0.003435483661379662 [26, 2]
0.0013451563262802666 0.004871805364404157 [27, 2]
0.003327059808651137 0.005456613034243927 [28, 2]
-0.0026732449691702245 -0.00626711110865546 [29, 2]
-0.005135724344680335 -0.0025983231711112177 [30, 2]
0.005795114427633635 0.0036115758478114657 [31, 2]
0.010494078515785711 -0.00760105560886926 [0, 3]
-0.003656624683665111 0.0098815122202722 [1, 3]
0.01015637878543981 0.0128649252376639 [2, 3]
-0.010597083631289047 0.005105645814388239 [3, 3]
0.0020502834660046714 -0.008387958709138998 [4, 3]
0.010797181297512498 -0.02559396185299908 [5, 3]
-0.007632848002608483 -0.0007652361279749084 [6, 3]
-0.011343915703311207 0.00328654531994366 [7, 3]
0.01289474426074309 0.00292748752371896 [8, 3]
0.0105391215933197 0.006464377526907172 [9, 3]
-0.016578612336244053 -0.009541606219815939 [10, 3]
-0.01680021096854558 -0.03485896562701737 [11, 3]
-0.0032313743101406458 -0.0017801607252941063 [12, 3]
0.020326753883404453 -0.00020026979684085148 [13, 3]
-0.005999235804050866 0.011348067581699492 [14, 3]
-0.01426481057116538 0.0053076787823508175 [15, 3]
-0.0071502964897740846 -0.006620788560712809 [16, 3]
0.003334016583301326 -0.004734916863422757 [17, 3]
0.010592084036189024 0.00935941988198932 [18, 3]
-0.01191637183261175 0.000878337257547156 [19, 3]
-0.0004601585666325432 0.006081589212719517 [20, 3]
-0.00844125196141855 -0.0024405747337019152 [21, 3]
0.0026743642320109584 0.011739717192792149 [22, 3]
-0.006747756648807073 -0.0007902553964683995 [23, 3]
-0.014765599394983666 -0.002675948458458753 [24, 3]
-0.00305904346019938 0.008619445768454187 [25, 3]
0.009353014450637416 -0.013042072970281324 [26, 3]
-0.0038288648719937957 0.007894058972629247 [27, 3]
0.004691891404147142 -0.00853184786080612 [28, 3]
-0.0008033593651593635 -0.007628615783511346 [29, 3]
-0.00022088573796411184 -0.004084425303561158 [30, 3]
0.004433078568090527 -0.002190773902476051 [31, 3]
-0.015678225069084797 0.0005267167516779086 [0, 4]
-0.004223508905476898 -0.0036299400293369716 [1, 4]
-0.003332272899511945 -0.011683487083453587 [2, 4]
-0.003185842357196824 0.006546888471123124 [3, 4]
-0.008273463178084198 0.020196544925427374 [4, 4]
0.016864781693776826 -0.010906167857485596 [5, 4]
-0.018170459176308697 -0.0037993577155396394 [6, 4]
-0.01616495901826767 -0.005114205596156488 [7, 4]
-0.004175176980890417 0.007257593448496995 [8, 4]
0.0082529717248721 0.0007147164878944504 [9, 4]
-0.0009981911168368124 -0.009703923712880072 [10, 4]
-0.0084082408360178 0.006926130901522396 [11, 4]
-0.005147019495135487 0.0027014274578418505 [12, 4]
-0.012491138031099573 0.0008764011776388564 [13, 4]
-0.0024483832543262425 -0.004157898977005489 [14, 4]
0.0018420091436664764 -0.00033333722507057715 [15, 4]
0.004164470050819409 0.0005449682693241904 [16, 4]
-0.003244597197138045 -0.006364479905654708 [17, 4]
-0.0014834046256252112 -0.004540121805481639 [18, 4]
0.00568361274210762 -0.004689256146501762 [19, 4]
-0.00673918394148315 -0.0008869622767094133 [20, 4]
0.013758154611559081 0.0009395634548836949 [21, 4]
-0.0006025596580746267 0.01015563120152754 [22, 4]
0.015276814866954258 0.00014890526754393548 [23, 4]
0.006204045732408222 -0.00042119297824627536 [24, 4]
-0.0016655200352358418 0.0007117877965637006 [25, 4]
-0.0009056177802360264 -0.0015480078900432716 [26, 4]
-0.014292909414181338 0.01497083835781402 [27, 4]
-0.0017946596125383892 -0.005385605636860162 [28, 4]
0.003289660613821408 0.00029647747804682794 [29, 4]
-0.0030272406540302094 -0.002089882973861089 [30, 4]
-0.004378005989234184 -0.0014696104849636583 [31, 4]
0.021522847144122045 -0.0022696961634868403 [0, 5]
-0.0017436410512519734 -0.007896748874077755 [1, 5]
-0.01951867294537088 -0.004442006104479116 [2, 5]
0.010046031739260941 -0.009165280140113431 [3, 5]
-0.002712714293802914 0.004401070279191344 [4, 5]
-0.012984389543861123 0.0016047739129264708 [5, 5]
0.003307485845835907 -0.0008351700253387535 [6, 5]
-0.003005972086522155 0.011153594053622486 [7, 5]
0.0009448887290627358 -0.013754558209226102 [8, 5]
0.0019739896232818226 -0.01110910995786931 [9, 5]
0.007340345709146623 -0.007715602416794426 [10, 5]
0.006302147988280873 0.0005583539104040413 [11, 5]
0.0017034514562198452 -0.013127280166341628 [12, 5]
-0.024374645905241445 -0.003472654704891428 [13, 5]
0.01944333475679497 0.00785467161091951 [14, 5]
-0.0019453343549448996 -0.0049064732114789825 [15, 5]
-0.0015541515840536797 -0.00024375295707631842 [16, 5]
-0.0180289823742302 0.007081850839850799 [17, 5]
0.0184835851226197 0.008185666139774523 [18, 5]
-0.008539601711484933 -0.005686382835339373 [19, 5]
-0.006298333540837113 0.00032720535259149773 [20, 5]
-0.000351144772982251 -0.0038038287631833117 [21, 5]
0.013507109606428749 -0.015657333766047495 [22, 5]
-0.0018162713753426393 -0.009936587117214471 [23, 5]
0.005924351409845105 0.0014933857969588033 [24, 5]
-0.003287437656331186 -0.0045794066358236865 [25, 5]
0.019126038333603157 0.005448073796921256 [26, 5]
-0.0030823772262306374 0.005168433248037687 [27, 5]
-0.000766859333690271 -0.00012970434347919245 [28, 5]
-0.004763779445821399 0.008778094765013192 [29, 5]
-0.00558569210432396 -0.00037683486860503847 [30, 5]
0.0010743761340024976 -0.008910013421595716 [31, 5]
-0.005452496977149797 -0.008001829724819873 [0, 6]
0.009275679588744905 -0.0022875237881387154 [1, 6]
0.008301295021282839 0.008750579208887652 [2, 6]
0.0047686196408723265 0.012666351107408704 [3, 6]
0.019162246108361793 0.007112146105996914 [4, 6]
-0.018896660139180656 0.0001561048100796 [5, 6]
0.004486226114839437 0.0021638288255155023 [6, 6]
-0.00950779058147162 -0.000375738842559669 [7, 6]
0.012942795937436089 -0.001284151274289836 [8, 6]
-0.0022149954556459116 -0.001444679212857321 [9, 6]
0.026541115429815142 0.016774917629864328 [10, 6]
-0.025140708157226303 -0.013081077511893491 [11, 6]
0.008155171703064904 0.006277002407493285 [12, 6]
0.012679558591817188 -0.00474545891517004 [13, 6]
-0.008968473612955009 0.0020139879397681384 [14, 6]
8.937223223499316e-05 0.026114726083172755 [15, 6]
-0.006889136323315586 0.010327062897132562 [16, 6]
0.0014915001238094692 0.010550675640150142 [17, 6]
-0.0008790962208419459 0.008832924909560894 [18, 6]
-0.003671414520917522 -0.007649194564801185 [19, 6]
0.004777975018754832 -0.0018655401978531307 [20, 6]
-0.010889158145914192 0.008768092041296877 [21, 6]
-0.0006499463651030495 0.011964311372948172 [22, 6]
-0.017183918616421986 0.0027039762197464566 [23, 6]
0.0046981518414399275 0.005380671667885999 [24, 6]
-0.00125432755246867 -0.006643395308769167 [25, 6]
0.0053058556980374386 -0.0006986276046189841 [26, 6]
0.008975618333912343 -0.0014907561001236303 [27, 6]
-0.007815623655177587 0.0031257690532929512 [28, 6]
0.00996101665850289 0.0030692163471006217 [29, 6]
0.0020382663310704267 -0.0017110982394901704 [30, 6]
-0.0020680303167459396 -0.0045947628586495304 [31, 6]
0.0031211902728453043 -0.0055759861787832545 [0, 7]
0.004204066396766239 -0.005730983152790419 [1, 7]
0.002956506249779965 -0.003785134458695545 [2, 7]
0.0016601328525402681 -0.002414861707579978 [3, 7]
-0.008667897324448674 -0.011699297699937343 [4, 7]
-0.0007583582064724669 -0.007122886974666231 [5, 7]
0.010993296600965135 0.00040215801475554114 [6, 7]
-0.02949175891123866 0.0033105081662599635 [7, 7]
0.019224410673581955 -0.0006076264375726658 [8, 7]
0.0030440308682684373 -0.010226136367965231 [9, 7]
0.014242596482343422 -0.006541557213283506 [10, 7]
0.0027321089486767695 0.002287082071285647 [11, 7]
0.000834243228037769 0.0027196803462208588 [12, 7]
0.01440843028814731 -0.02574499863301546 [13, 7]
-0.014287170525524213 -0.0046569424596048506 [14, 7]
-0.0015588934391489676 0.013571707956337602 [15, 7]
-0.0006391868489977489 -0.002374660289929761 [16, 7]
0.007143513044107167 -0.005228285477951388 [17, 7]
0.00664019168413763 -0.006325183522315818 [18, 7]
0.0019404242093391444 -0.01042161994788155 [19, 7]
-0.015864558398668883 0.00010455118039181617 [20, 7]
-0.015908997593814134 -0.010520540361470418 [21, 7]
-0.016555621863827755 0.0022108739454157187 [22, 7]
-0.007398628234371538 -0.009515180770941399 [23, 7]
0.005011332225959406 -0.015335915453090062 [24, 7]
0.001370405877947306 0.008290682051752842 [25, 7]
-0.005452852323689959 -0.018165362353128094 [26, 7]
-0.008663958348606804 0.006582227383965126 [27, 7]
-0.005210050642275455 0.0029058820325631256 [28, 7]
0.0021651097895461825 -0.0006768700206286875 [29, 7]
-0.004553387662836295 -0.0010587533007857708 [30, 7]
0.002039478482435732 0.009420261700145984 [31, 7]
