#     gamma 1             gamma 2            pos
0.015805919906666684 -0.004657398919509184 [0, 0]
-0.0016209967413466557 -0.0011585146559011095 [1, 0]
0.003659785298902389 0.015186506261023264 [2, 0]
-0.0004155684450574671 -0.0186809340450394 [3, 0]
-0.004326953853568706 0.0036158461568176633 [4, 0]
-1.3036644869658828e-07 -8.341800314812751e-10 [5, 0]
-0.002025477660491533 -2.9355118352452366e-05 [6, 0]
0.0017416383555759597 0.012416929207393564 [7, 0]
0.0007926159985354774 -0.010776084460399953 [8, 0]
0.0009198585044517067 -0.008933493237810466 [9, 0]
-0.003076204281717155 0.0002585838228418584 [10, 0]
-0.00032838205391913327 -0.009532289109148818 [11, 0]
0.004166654145762404 0.0010930428916754323 [12, 0]
0.0029619192533879447 -0.006512713756872234 [13, 0]
-0.0038477529684811844 0.02359571560385427 [14, 0]
0.000939091043487665 -0.004320825190499259 [15, 0]
-0.004180209380243232 0.014654434314551311 [16, 0]
-0.004727713917341116 0.013289728833151002 [17, 0]
-0.0026709956021445315 -0.0007851766602947303 [18, 0]
0.005823729923735513 -0.02386338292700065 [19, 0]
0.002538411588139724 0.002326430337746685 [20, 0]
0.020834580378975318 0.04643268270103632 [21, 0]
-0.0035195891386619904 -0.002630850709473866 [22, 0]
0.005296853591120563 0.012775538603282201 [23, 0]
-0.005495454914157901 0.0015952507590270757 [24, 0]
-0.0064193785999221735 -0.017842389148881973 [25, 0]
-0.0010031693817073946 0.01813176245830193 [26, 0]
0.0019687018570296805 0.008503473431032487 [27, 0]
-0.0025957007559223684 -0.001446812648199482 [28, 0]
0.004061239534083718 0.01858215551223718 [29, 0]
-0.005096235036840904 0.01289842198663926 [30, 0]
-0.0002556752144708543 0.0065533364247458235 [31, 0]
0.013172601099468792 0.02037488947123404 [0, 1]
-0.008618104638990962 0.010646367266820961 [1, 1]
0.006409947347780092 -0.012115214011089533 [2, 1]
0.0011764816077680124 0.0010155025037190631 [3, 1]
0.0020361224154369947 -0.00412180291870731 [4, 1]
0.004686518165556709 0.003276858384001338 [5, 1]
0.0038191968922038147 0.005871674258043031 [6, 1]
0.008665463971931011 -0.012987134797668293 [7, 1]
-0.004054578089357815 0.002996109037724988 [8, 1]
-0.004066415384950149 -0.007335502424594966 [9, 1]
-0.0007317825849467002 0.0005734609440664827 [10, 1]
-0.0014832123869532301 0.010949456476034628 [11, 1]
0.001784708876106761 -0.002950276557331979 [12, 1]
-0.009109163083735043 -0.024954175374590524 [13, 1]
-0.0031581865354946034 -0.012135018279669053 [14, 1]
0.004241706833088611 0.006261752742787357 [15, 1]
0.0028016665427380563 -0.011098021784127138 [16, 1]
-0.0046520853526816125 -0.009285047046987325 [17, 1]
0.002480933231929865 0.007833552061963055 [18, 1]
-0.0011780068584467305 -0.00655910293935013 [19, 1]
0.0028557633260534376 -0.0028829590310304534 [20, 1]
0.008342915209520213 -0.007365368973763161 [21, 1]
-0.0021645249602671598 -0.01809221112981885 [22, 1]
0.0074124931886352975 0.0002613998531913137 [23, 1]
-0.0002115739467292746 -0.00110206246922173 [24, 1]
0.003922743485791833 -0.012735007936642586 [25, 1]
0.004243783929540418 -0.020951955306734455 [26, 1]
0.017911499282119825 0.011144632938969454 [27, 1]
0.00709830079737656 0.005638614959662053 [28, 1]
-0.0017396430075664214 -0.0006275145020046099 [29, 1]
-8.283647697641551e-05 0.005840503283392939 [30, 1]
0.003965257202962343 -0.006125479845435465 [31, 1]
0.003689246571078467 -0.004857648988233912 [0, 2]
0.0019492185367960952 -0.009003802961648308 [1, 2]
-0.0006310739702069694 -0.009356631536361223 [2, 2]
0.0040561053860792284 -0.0274247172513154 [3, 2]
-4.812236678514216e-05 0.024232948986815186 [4, 2]
0.010684702527320483 0.008712769546982206 [5, 2]
0.009830769659026229 -0.01121027836260723 [6, 2]
-0.002953391720700465 0.0012847864886492279 [7, 2]
-0.0057666402101362495 0.0050148007482550445 [8, 2]
0.0033772821619201805 0.00893509591875738 [9, 2]
-0.0003956699512953901 -0.0038146664489519533 [10, 2]
0.0024100209310916644 -0.02131733591181069 [11, 2]
-0.009176038595093597 -0.006148178229050351 [12, 2]
0.004437391150815432 0.0015349078035818693 [13, 2]
-0.001887956286598925 -0.009081964081014306 [14, 2]
-0.005772955631718007 -0.008294884766803077 [15, 2]
-0.0003444275442256557 0.0005277093144872897 [16, 2]
-0.0003918885266586149 -0.00796848318961452 [17, 2]
-0.0003395730336850712 0.00043309914662148903 [18, 2]
0.005723413887223146 0.008552755683295778 [19, 2]
0.008530219403459256 0.010310515561123574 [20, 2]
0.004039720426650959 0.018806218277250007 [21, 2]
