#     gamma 1            gamma 2              pos
0.0009466013352655674 -0.003969716935060997 [0, 0]
0.002701401604939205 0.006538705843425002 [1, 0]
0.006174526243139014 -0.004293472475056852 [2, 0]
-0.005046629562280052 -0.007192493278392475 [3, 0]
-0.004565729379491414 -0.005757533603309653 [4, 0]
0.0053077793532053255 -0.00213510797921281 [5, 0]
-0.004500258733482601 -0.002819963759613548 [6, 0]
-0.004810230538246387 4.941206078628108e-05 [7, 0]
0.006084075737510503 0.0027704010755621985 [8, 0]
0.0027796882794199956 -0.0055113594698653935 [9, 0]
-0.004763791724875708 -0.002280754368841928 [10, 0]
0.005536488563058854 -0.002466834196655391 [11, 0]
0.0006932317264125295 -0.002269460407875717 [12, 0]
-0.0027558094102625675 -0.0065847341656245315 [13, 0]
-0.0038708111055675756 -0.0006362198540164836 [14, 0]
-0.006291541976905477 -0.0017875270821066543 [15, 0]
-0.002779542855328175 -0.0011727292456751223 [16, 0]
0.0003341683172399255 -0.0074247679631709775 [17, 0]
-0.005095436474490454 7.948557745279768e-05 [18, 0]
0.005773371054316756 0.0012196891006621617 [19, 0]
-0.006322114814071571 0.006066326431754438 [20, 0]
-0.004848231271358011 -0.00036015843389842746 [21, 0]
0.0034985719564818666 -0.003447104776729591 [22, 0]
-0.0022989366001829486 0.007447907622140713 [23, 0]
-0.003235446600770207 -0.005766482126224185 [24, 0]
-0.007186369594532016 0.0055666746690859895 [25, 0]
0.0024407472055179087 0.004661365059933391 [26, 0]
0.002495380642109936 -0.0005291800381378105 [27, 0]
-0.0015962721264888744 -0.0004763210611310257 [28, 0]
-0.0006270233980866523 -0.006047486023862523 [29, 0]
-0.003300689941299268 -0.007302988424915187 [30, 0]
-0.0034637051822572207 0.0035893852130972396 [31, 0]
-0.001725907254398884 0.0002863363829725333 [0, 1]
-0.004252212513197378 0.0002697553462938227 [1, 1]
-0.0037638954096540665 -0.002215893724324638 [2, 1]
-0.007748273981720172 0.0012185076585416877 [3, 1]
-0.0007879660793559631 -0.003909963382155653 [4, 1]
0.006712849348794371 -0.0008750725679923224 [5, 1]
0.0026776146202353184 0.012236665419566918 [6, 1]
-0.0017815849877426356 0.0007130857013835734 [7, 1]
-0.0023861033458527797 0.0008718689007487744 [8, 1]
-0.009306026642356925 -0.012189718394186956 [9, 1]
0.0025120258109007634 -0.009868118107367364 [10, 1]
-0.0013853066733952636 0.00024845416192254005 [11, 1]
-0.005388380155190292 -0.011153409946757625 [12, 1]
0.004677586728669233 -0.007382486612862469 [13, 1]
-0.008392566417655773 0.0019889943139171353 [14, 1]
-0.003992650760630282 -0.004396873556863018 [15, 1]
0.002363113752208257 0.0015546959729853928 [16, 1]
0.011141112379543357 -0.0015735905164752208 [17, 1]
-0.008006677675825805 -0.0027306722094055953 [18, 1]
-0.011743941239237696 3.33859825746877e-05 [19, 1]
